"points","all_attributes","Airline","Flight","AirportFrom","AirportTo","DayOfWeek","Time","Length"
"17612","1.0000000000004823","0.14984277306758803","0.14580448399170104","0.15647649453333298","0.1565290989946873","1.0","0.14580448399170104","0.14580448399170104"
"35659","0.999999999999953","0.028822731580024206","0.020325520237522616","0.05744876983894007","0.05367773623557598","1.0","0.013496438828199977","0.010966535438001544"
"53799","0.9999999999999081","0.07164046043205909","0.06599959864267407","0.10051965272630725","0.10039483275993064","1.0","0.05833861926130639","0.030344405200102252"
"68078","0.9999999999999999","0.07241865952726845","0.06255307185073028","0.11328164807852996","0.11162910292926786","1.0","0.0946712940588476","0.05576747130411419"
"85189","1.000000000000034","0.04080397938119979","0.0246249333403259","0.06927364596250393","0.0630695860623861","1.0","0.061841761613814605","0.018516928686239074"
"103138","1.0000000000004359","0.15066297504765921","0.14085637809542495","0.15276435892032234","0.1498603337475501","1.0","0.14085637809542498","0.140856378095425"
"120388","0.9999999999998859","0.06895888263944688","0.04741513158547351","0.08057810314555251","0.07658101955182568","1.0","0.04970068148677201","0.0474151315854735"
"137920","0.9999999999998953","0.07204294626871796","0.06041711334655758","0.08554785471842057","0.09017563529126471","1.0","0.0604171133465576","0.060417113346557624"
"155976","1.000000000000038","0.04092963391569602","0.013393321566929017","0.07043149449252499","0.07192193264228972","0.9999999999999999","0.03751714746579987","0.020748482470191607"
"174115","0.9999999999997655","0.0832401497835094","0.06950692727527173","0.10523232982905502","0.11651202042348187","1.0","0.07188306538822004","0.05704576200027991"
"188415","0.9999999999999173","0.14790733776027895","0.13641864671276438","0.1859809634809635","0.18338468720821632","0.9999999999999999","0.14058896985367572","0.13641864671276438"
"205551","0.9999999999996442","0.1150955344845274","0.062414579546613266","0.11690110939919414","0.10704973202312953","0.9999999999999999","0.07900708522675834","0.06069914143252017"
"223517","0.9999999999998146","0.11190619738886382","0.10261174438870543","0.13060364157833315","0.12296699071289492","1.0","0.10261174438870542","0.10261174438870543"
"240796","1.0000000000003517","0.057749467364719156","0.041630354010911676","0.08789966347931874","0.07702455709639533","1.0","0.039842741921901965","0.021482746425759473"
"258373","0.9999999999999214","0.10492904591551042","0.10085861879928684","0.12840969452822068","0.1175475281749674","1.0","0.10085861879928684","0.10085861879928686"
"276642","1.0","0.07251730936439033","0.030057515054699335","0.09714779751082792","0.07935821103426492","1.0","0.03601335925686427","0.016726944958059813"
"295227","1.00000000000014","0.07140502042057853","0.059762175546325666","0.09569624766841832","0.07264604780460823","1.0","0.040134212808820034","0.03361366336787626"
"311213","0.9999999999997007","0.08313594900323559","0.07941931670840975","0.10232595413648725","0.10062050362891595","1.0","0.09118965734717058","0.07141281666125132"
"328765","0.9999999999995348","0.05199161788286445","0.031782399292223526","0.08575912112913603","0.068334743876397","1.0","0.041187755922552596","0.02888444698099603"
"347094","0.9999999999992764","0.059547836282552016","0.05433803382916293","0.08296201010805407","0.08197608598062242","1.0","0.054338033829162954","0.054338033829162906"
"365403","0.9999999999994428","0.04187161951266127","0.026493373018446377","0.07367719786498271","0.06796035239113098","1.0","0.013856036401718702","0.03392810262648681"
"383939","1.0000000000000322","0.08184371190629491","0.0767637618628974","0.1117756287410295","0.09375249522085627","0.9999999999999999","0.0767637618628974","0.07676376186289739"
"402506","0.9999999999998701","0.11670589595958454","0.10980542574052812","0.15232014975447355","0.13632460846622788","1.0","0.11901837992330208","0.09769141105183393"
"417527","0.9999999999995625","0.06576067634975408","0.025521534808533017","0.08656640344959625","0.08988396024594127","1.0","0.07430202261341108","0.022790857027803348"
"431918","0.9999999999999665","0.1210906421663491","0.1083071869832608","0.14512080974281508","0.153426586214467","1.0","0.12521159595814246","0.10446409629174577"
"449998","1.0000000000002223","0.06848269200912424","0.06525096138917749","0.1006329643032018","0.09959527605603528","1.0","0.05943137711535477","0.0431793020672853"
"468523","1.000000000000411","0.11699915871516098","0.09708502899566168","0.1264377706695751","0.117823638280488","1.0","0.09418886764402756","0.0953143512515188"
"487025","1.0000000000001232","0.06863577901298117","0.03432219547300088","0.08740934866196606","0.07911465399682355","1.0","0.03360172805539589","0.03360172805539587"
"505514","0.9999999999998758","0.06660047316113554","0.030912576927964668","0.07783981393781458","0.07132874979416667","1.0","0.03091257692796468","0.030912576927964702"
"524020","0.9999999999999281","0.08610601082676354","0.08282348955767561","0.11180350887322849","0.09221319376397567","1.0","0.08695659636740449","0.06331674939851606"
